0.5375	0.53	0.58325	0.25	0.575	0.591	
0.5125	0.45	0.5	0.125	0.4	0.52275	
0.4125	0.48	0.4325	0.09375	0.45	0.43175	
0.525	0.43	0.5	0.1875	0.425	0.47725	
0.4875	0.56	0.6	0.25	0.425	0.5455	
0.475	0.47	0.6	0.28125	0.475	0.5455	
0.7	0.7	0.78325	0.5	0.75	0.75	
0.4875	0.51	0.6	0.09375	0.475	0.56825	
0.5625	0.43	0.45	0.125	0.375	0.43175	
0.525	0.54	0.61675	0.1875	0.525	0.659	
0.5	0.4	0.58325	0.28125	0.525	0.72725	
0.5875	0.56	0.61675	0.28125	0.575	0.5	
0.4625	0.45	0.45	0.28125	0.525	0.52275	
0.525	0.37	0.46675	0.28125	0.5	0.4545	
0.625	0.54	0.61675	0.4375	0.55	0.56825	
0.5375	0.43	0.51675	0.1875	0.5	0.591	
0.5	0.47	0.55	0.125	0.375	0.4545	
0.6	0.56	0.68325	0.25	0.6	0.61375	
0.4375	0.39	0.5	0.1875	0.425	0.47725	
0.575	0.67	0.75	0.4375	0.625	0.659	
0.6	0.5	0.58325	0.28125	0.575	0.61375	
0.5375	0.43	0.5	0.28125	0.575	0.61375	
0.5375	0.54	0.55	0.25	0.6	0.659	
0.6125	0.58	0.55	0.1875	0.575	0.52275	
0.575	0.56	0.61675	0.34375	0.575	0.4545	
0.5375	0.48	0.6	0.34375	0.625	0.5	
0.55	0.59	0.68325	0.28125	0.6	0.5	
0.6	0.51	0.55	0.34375	0.6	0.61375	
0.65	0.47	0.61675	0.28125	0.625	0.72725	
0.6	0.54	0.58325	0.1875	0.5	0.4115	
0.6	0.68	0.68325	0.6875	0.725	0.7955	
0.6375	0.64	0.63325	0.59375	0.675	0.72725	
0.675	0.62	0.61675	0.625	0.675	0.7045	
0.625	0.6	0.6	0.59375	0.625	0.7045	
0.6125	0.59	0.63325	0.59375	0.675	0.63625	
0.65	0.56	0.61675	0.5	0.675	0.72725	
0.6625	0.62	0.68325	0.625	0.65	0.75	
0.625	0.6	0.63325	0.6875	0.725	0.7045	
0.6	0.58	0.63325	0.53125	0.675	0.75	
0.725	0.62	0.83325	0.78125	0.825	0.818	
0.5125	0.53	0.63325	0.34375	0.55	0.63625	
0.525	0.53	0.5	0.5	0.55	0.5	
0.525	0.51	0.53325	0.375	0.475	0.4545	
0.475	0.48	0.46675	0.28125	0.475	0.61375	
0.45	0.43	0.45	0.375	0.55	0.47725	
0.575	0.58	0.53325	0.28125	0.525	0.5	
0.6625	0.6	0.7	0.59375	0.7	0.72725	
0.675	0.68	0.75	0.75	0.725	0.77275	
