2.15	2.12	2.333	1.0	2.3	2.364	
2.05	1.8	2.0	0.5	1.6	2.091	
1.65	1.92	1.73	0.375	1.8	1.727	
2.1	1.72	2.0	0.75	1.7	1.909	
1.95	2.24	2.4	1.0	1.7	2.182	
1.9	1.88	2.4	1.125	1.9	2.182	
2.8	2.8	3.133	2.0	3.0	3.0	
1.95	2.04	2.4	0.375	1.9	2.273	
2.25	1.72	1.8	0.5	1.5	1.727	
2.1	2.16	2.467	0.75	2.1	2.636	
2.0	1.6	2.333	1.125	2.1	2.909	
2.35	2.24	2.467	1.125	2.3	2.0	
1.85	1.8	1.8	1.125	2.1	2.091	
2.1	1.48	1.867	1.125	2.0	1.818	
2.5	2.16	2.467	1.75	2.2	2.273	
2.15	1.72	2.067	0.75	2.0	2.364	
2.0	1.88	2.2	0.5	1.5	1.818	
2.4	2.24	2.733	1.0	2.4	2.455	
1.75	1.56	2.0	0.75	1.7	1.909	
2.3	2.68	3.0	1.75	2.5	2.636	
2.4	2.0	2.333	1.125	2.3	2.455	
2.15	1.72	2.0	1.125	2.3	2.455	
2.15	2.16	2.2	1.0	2.4	2.636	
2.45	2.32	2.2	0.75	2.3	2.091	
2.3	2.24	2.467	1.375	2.3	1.818	
2.15	1.92	2.4	1.375	2.5	2.0	
2.2	2.36	2.733	1.125	2.4	2.0	
2.4	2.04	2.2	1.375	2.4	2.455	
2.6	1.88	2.467	1.125	2.5	2.909	
2.4	2.16	2.333	0.75	2.0	1.646	
2.4	2.72	2.733	2.75	2.9	3.182	
2.55	2.56	2.533	2.375	2.7	2.909	
2.7	2.48	2.467	2.5	2.7	2.818	
2.5	2.4	2.4	2.375	2.5	2.818	
2.45	2.36	2.533	2.375	2.7	2.545	
2.6	2.24	2.467	2.0	2.7	2.909	
2.65	2.48	2.733	2.5	2.6	3.0	
2.5	2.4	2.533	2.75	2.9	2.818	
2.4	2.32	2.533	2.125	2.7	3.0	
2.9	2.48	3.333	3.125	3.3	3.272	
2.05	2.12	2.533	1.375	2.2	2.545	
2.1	2.12	2.0	2.0	2.2	2.0	
2.1	2.04	2.133	1.5	1.9	1.818	
1.9	1.92	1.867	1.125	1.9	2.455	
1.8	1.72	1.8	1.5	2.2	1.909	
2.3	2.32	2.133	1.125	2.1	2.0	
2.65	2.4	2.8	2.375	2.8	2.909	
2.7	2.72	3.0	3.0	2.9	3.091	
